name,ra,dec,gal_l,gal_b,W1mag,W2mag,Gmag,BPmag,RPmag,log(fx),P_QSO,z_phot
2CXO J174202.1-534021,265.5089257,-53.67264074,338.266896,-12.130152,16.442,15.656,20.25509166,20.43673776,19.7288215,-13.865488,0.731707317,2.0635863383389337
2CXO J175430.7-610103,268.6280522,-61.01739666,332.352148,-17.029512,15.387,14.418,19.99998802,19.85281178,19.29850259,-13.33260111,0.829268293,1.327151007162194
2CXO J175441.2-605414,268.6715747,-60.90378326,332.468875,-16.999581,17.369,16.475,20.45176932,20.80219138,20.41288358,-13.66056791,0.731707317,1.8185267443076132
2CXO J180036.6-415141,270.1528185,-41.86160557,350.308494,-9.119739,15.513,15.163,20.03965007,,,-13.44815504,0.56097561,2.07491867008441
2CXO J180106.8-415007,270.2786443,-41.83541057,350.376995,-9.189723,15.805,15.55,20.13401856,20.18081484,19.57718411,-13.75718801,0.780487805,1.64927139222108
2CXO J180112.6+134532,270.3028242,13.75908037,39.871037,17.240705,16.421,15.189,19.9402949,20.35982845,19.36934815,-13.58183158,0.87804878,1.623282517144869
2CXO J180147.3+135331,270.4471508,13.89217762,40.05872,17.168509,16.011,14.73,19.56785247,19.83868643,19.27279068,-13.40660235,0.731707317,1.2802548492235077
2CXO J180153.6+135021,270.4734567,13.83928555,40.01947,17.123308,15.983,14.846,19.80955232,19.930733,19.54417582,-13.46867225,0.902439024,1.1696554485218102
2CXO J180303.7+045153,270.7654185,4.864788217,31.772542,12.971457,16.544,15.866,20.24702717,20.35093631,19.67975621,-13.71103958,0.829268293,2.178075324238806
2CXO J180500.5+105950,271.2523743,10.99721487,37.671068,15.233946,14.948,14.209,18.09184438,18.49058256,17.50465994,-14.44670879,0.804878049,2.532229375317811
2CXO J180520.4+105649,271.3352238,10.94716178,37.660337,15.139007,14.524,13.655,19.25017215,19.14974174,18.87049592,-12.89012224,0.87804878,0.7797455718961365
2CXO J180635.3-433032,271.6474107,-43.50916627,349.350678,-10.860845,14.637,13.56,19.14636986,19.31237232,18.5899744,-13.05079186,0.731707317,1.2209606549948222
2CXO J181007.7+174734,272.5320474,17.79293406,44.639853,16.933277,16.497,15.734,20.02095451,20.11700658,19.76288404,-13.71899015,0.975609756,1.882936592126593
2CXO J181151.7+013132,272.9658021,1.525747368,29.757156,9.497525,15.566,14.087,18.4492888,18.62481273,18.07108649,-13.79607097,0.56097561,1.9495359578517577
2CXO J181242.9-573828,273.1787573,-57.64135953,336.574222,-17.762759,15.964,15.014,20.38165169,20.45851902,19.94365059,-13.79906269,0.756097561,1.7969968183785887
2CXO J181259.5-613728,273.2480163,-61.62473835,332.699735,-19.303912,15.712,14.719,20.35400825,20.36036726,20.04958916,-13.18332855,0.975609756,1.5622946371310957
